How long is the imaging session (answer in seconds; time from TTL HIGH to end of the aqusition)?0.00307416915894 , array('B', [0, 0, 255, 255, 0, 0, 0, 0])
3.09194397926 , array('B', [0, 0, 1, 0, 253, 255, 0, 0])
3.10794711113 , array('B', [0, 0, 0, 0, 254, 255, 0, 0])
3.12394809723 , array('B', [0, 0, 1, 0, 254, 255, 0, 0])
3.13995099068 , array('B', [0, 0, 1, 0, 254, 255, 0, 0])
3.15595412254 , array('B', [0, 0, 1, 0, 255, 255, 0, 0])
3.17195415497 , array('B', [0, 0, 0, 0, 255, 255, 0, 0])
3.18796110153 , array('B', [0, 0, 0, 0, 255, 255, 0, 0])
3.20397305489 , array('B', [0, 0, 0, 0, 255, 255, 0, 0])
3.21996903419 , array('B', [0, 0, 255, 255, 0, 0, 0, 0])
3.25196814537 , array('B', [0, 0, 255, 255, 0, 0, 0, 0])
3.2679681778 , array('B', [0, 0, 255, 255, 0, 0, 0, 0])
3.2839679718 , array('B', [0, 0, 0, 0, 2, 0, 0, 0])
3.29997706413 , array('B', [0, 0, 255, 255, 1, 0, 0, 0])
3.31597399712 , array('B', [0, 0, 0, 0, 2, 0, 0, 0])
3.33197808266 , array('B', [0, 0, 0, 0, 2, 0, 0, 0])
3.34798407555 , array('B', [0, 0, 0, 0, 2, 0, 0, 0])
3.36397910118 , array('B', [0, 0, 0, 0, 2, 0, 0, 0])
3.37998318672 , array('B', [0, 0, 1, 0, 2, 0, 0, 0])
3.39598608017 , array('B', [0, 0, 0, 0, 2, 0, 0, 0])
3.41198801994 , array('B', [0, 0, 255, 255, 2, 0, 0, 0])
3.42798900604 , array('B', [0, 0, 255, 255, 2, 0, 0, 0])
3.44398999214 , array('B', [0, 0, 254, 255, 2, 0, 0, 0])
3.45999312401 , array('B', [0, 0, 255, 255, 1, 0, 0, 0])
3.47610807419 , array('B', [0, 0, 254, 255, 2, 0, 0, 0])
3.49201416969 , array('B', [0, 0, 255, 255, 2, 0, 0, 0])
3.50800514221 , array('B', [0, 0, 255, 255, 2, 0, 0, 0])
3.5240020752 , array('B', [0, 0, 0, 0, 2, 0, 0, 0])
3.54000401497 , array('B', [0, 0, 255, 255, 2, 0, 0, 0])
3.55600714684 , array('B', [0, 0, 0, 0, 2, 0, 0, 0])
3.57200717926 , array('B', [0, 0, 0, 0, 1, 0, 0, 0])
3.58801603317 , array('B', [0, 0, 0, 0, 1, 0, 0, 0])
3.60401320457 , array('B', [0, 0, 0, 0, 1, 0, 0, 0])
3.62001514435 , array('B', [0, 0, 0, 0, 1, 0, 0, 0])
3.63601708412 , array('B', [0, 0, 0, 0, 1, 0, 0, 0])
3.66802215576 , array('B', [0, 0, 255, 255, 0, 0, 0, 0])
3.70002603531 , array('B', [0, 0, 255, 255, 0, 0, 0, 0])
3.71602797508 , array('B', [0, 0, 255, 255, 0, 0, 0, 0])
3.78004002571 , array('B', [0, 0, 1, 0, 0, 0, 0, 0])
3.79604315758 , array('B', [0, 0, 0, 0, 255, 255, 0, 0])
3.81204009056 , array('B', [0, 0, 0, 0, 255, 255, 0, 0])
3.82804298401 , array('B', [0, 0, 1, 0, 255, 255, 0, 0])
3.84404397011 , array('B', [0, 0, 0, 0, 255, 255, 0, 0])
3.86004710197 , array('B', [0, 0, 0, 0, 255, 255, 0, 0])
3.87604904175 , array('B', [0, 0, 0, 0, 255, 255, 0, 0])
3.89205098152 , array('B', [0, 0, 0, 0, 255, 255, 0, 0])
3.90805506706 , array('B', [0, 0, 0, 0, 254, 255, 0, 0])
